"User_ID","Mean_Answer_Q1","Mean_Answer_Q2","Age","Height","Weight","Gender","Trainingsversion"
"ace1bf8e2b",3.66666666666667,3.44444444444444,42,165,88,"F","NonAdaptive"
"b0514d19a5",2.77777777777778,2.88888888888889,35,181,82,"M","Adaptive"
"bbdd1709de",3,2.55555555555556,28,160,52,"F","NonAdaptive"
"c72e33d6b7",3.33333333333333,3.33333333333333,26,180,75,"M","Adaptive"
"cebce821a5",3.33333333333333,3.66666666666667,26,181,80,"M","NonAdaptive"
"ceda45263f",2.88888888888889,2.55555555555556,20,174,60,"M","NonAdaptive"
"d218a50a47",3.44444444444444,3.33333333333333,22,165,56,"F","NonAdaptive"
"d237cc6778",3.33333333333333,3.33333333333333,27,197,120,"M","NonAdaptive"
"dcbd3755ee",3.11111111111111,2.11111111111111,33,163,54,"F","Adaptive"
"ddf0149910",3.77777777777778,3.88888888888889,23,183,100,"M","NonAdaptive"
"de0e13f252",2.77777777777778,2.66666666666667,25,180,76,"M","NonAdaptive"
"deaa43e599",3.33333333333333,3.44444444444444,32,172,56,"M","NonAdaptive"
"e2f2d05ef0",3.11111111111111,2.77777777777778,32,169,70,"F","Adaptive"
"e5b6272806",3.11111111111111,3.44444444444444,23,172,60,"F","Adaptive"
"e706b5f36e",2.88888888888889,2.77777777777778,32,192,101,"M","Adaptive"
"e7ced685f4",2,2.44444444444444,55,175,88,"F","Adaptive"
"e99c3f87fd",3,2.88888888888889,26,190,112,"M","Adaptive"
"ed0fe57727",3.33333333333333,2.88888888888889,25,171,75,"F","NonAdaptive"
"edab8c7cb8",4.66666666666667,5.44444444444444,21,176,71,"M","NonAdaptive"
"f671189e62",3.44444444444444,3.55555555555556,28,165,59,"F","NonAdaptive"
"08c00ca162",2.44444444444444,2.11111111111111,29,183,83,"M","NonAdaptive"
"10dd32d73d",3.66666666666667,3.55555555555556,24,173,68,"M","NonAdaptive"
"146fbc180f",1.77777777777778,1.66666666666667,24,177,94,"M","Adaptive"
"264a9fb729",2.77777777777778,2.66666666666667,21,188,85,"M","NonAdaptive"
"36782ec562",3.33333333333333,3.22222222222222,26,164,58,"F","Adaptive"
"368275a985",2.22222222222222,2.22222222222222,25,185,83,"M","Adaptive"
"3ea2f30248",2.55555555555556,2.66666666666667,28,174,68,"M","NonAdaptive"
"3ff709a4a6",3.22222222222222,3.55555555555556,24,167,50,"F","NonAdaptive"
"4e8ae8d588",2.44444444444444,2.44444444444444,22,165,57,"F","Adaptive"
"62be6f86c1",3.44444444444444,4.11111111111111,24,188,90,"M","Adaptive"
"6e4d7fa8b2",3.44444444444444,4,30,175,75,"M","NonAdaptive"
"6f25c69f20",3.77777777777778,3.66666666666667,27,170,83,"F","NonAdaptive"
"6f7e481ac0",2.66666666666667,2,25,183,89,"M","Adaptive"
"839d1c9ec4",1.77777777777778,1.55555555555556,24,172,65,"M","Adaptive"
"8cf2a7d56a",3.11111111111111,3.22222222222222,26,180,103,"M","NonAdaptive"
"c70877f17a",2.77777777777778,3.11111111111111,26,181,74,"M","Adaptive"
"c7bd047d00",3.55555555555556,3.55555555555556,25,179,75,"M","NonAdaptive"
"c9422ef353",3.77777777777778,4,27,185,75,"M","NonAdaptive"
"dd6f89690d",4,4.22222222222222,25,182,87,"M","Adaptive"
"ebbdb53346",3.22222222222222,3.55555555555556,27,190,86,"M","Adaptive"
